--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'figma_agent.exe', 'pid': 5036, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 4.01171875}
{'name': 'ZVCMD64.EXE', 'pid': 5144, 'username': None, 'vms': 0.796875}
{'name': 'unsecapp.exe', 'pid': 5580, 'username': None, 'vms': 1.265625}
{'name': 'chrome.exe', 'pid': 5636, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.83984375}
{'name': 'chrome.exe', 'pid': 5724, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 19.765625}
{'name': 'svchost.exe', 'pid': 5788, 'username': None, 'vms': 1.3984375}
{'name': 'chrome.exe', 'pid': 5856, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 21.25}
{'name': 'conhost.exe', 'pid': 6300, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.140625}
{'name': 'CCXProcess.exe', 'pid': 6356, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 0.5625}
{'name': 'svchost.exe', 'pid': 6416, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.21875}
{'name': 'sihost.exe', 'pid': 6436, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.19921875}
{'name': 'ETDCtrl.exe', 'pid': 6456, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 9.03125}
{'name': 'svchost.exe', 'pid': 6468, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 7.10546875}
{'name': 'ZVMOUNT.EXE', 'pid': 6516, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.8359375}
{'name': 'svchost.exe', 'pid': 6540, 'username': None, 'vms': 2.2109375}
{'name': 'taskhostw.exe', 'pid': 6584, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.73046875}
{'name': 'chrome.exe', 'pid': 6644, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 19.65625}
{'name': 'pycharm64.exe', 'pid': 6656, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 868.0390625}
{'name': 'PresentationFontCache.exe', 'pid': 6772, 'username': None, 'vms': 25.08203125}
{'name': 'svchost.exe', 'pid': 6816, 'username': None, 'vms': 1.47265625}
{'name': 'ctfmon.exe', 'pid': 6964, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.99609375}
{'name': 'chrome.exe', 'pid': 7020, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 91.7578125}
{'name': 'svchost.exe', 'pid': 7040, 'username': None, 'vms': 3.0}
{'name': 'chrome.exe', 'pid': 7136, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 17.9296875}
{'name': 'conhost.exe', 'pid': 7164, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.02734375}
{'name': 'chrome.exe', 'pid': 7176, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.75390625}
{'name': 'chrome.exe', 'pid': 7212, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 31.48046875}
{'name': 'svchost.exe', 'pid': 7240, 'username': None, 'vms': 5.015625}
{'name': 'chrome.exe', 'pid': 7292, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 69.0546875}
{'name': 'ShellExperienceHost.exe', 'pid': 7500, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 35.6171875}
{'name': 'chrome.exe', 'pid': 7512, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 80.86328125}
{'name': 'conhost.exe', 'pid': 7552, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.2890625}
{'name': 'node.exe', 'pid': 7580, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 32.91015625}
{'name': 'chrome.exe', 'pid': 7664, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 31.2734375}
{'name': 'chrome.exe', 'pid': 7672, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 35.8359375}
{'name': 'chrome.exe', 'pid': 7824, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 427.22265625}
{'name': 'chrome.exe', 'pid': 7852, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.02734375}
{'name': 'conhost.exe', 'pid': 7904, 'username': None, 'vms': 1.12890625}
{'name': 'igfxEM.exe', 'pid': 8052, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.51171875}
{'name': 'chrome.exe', 'pid': 8064, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 74.87109375}
{'name': 'chrome.exe', 'pid': 8220, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.63671875}
{'name': 'SearchIndexer.exe', 'pid': 8308, 'username': None, 'vms': 1.6484375}
{'name': 'chrome.exe', 'pid': 8408, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.1328125}
{'name': 'APCONSVC.EXE', 'pid': 8420, 'username': None, 'vms': 6.69921875}
{'name': 'chrome.exe', 'pid': 8492, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 153.91796875}
{'name': 'MSASCuiL.exe', 'pid': 8520, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.8359375}
{'name': 'DolbyDAX2TrayIcon.exe', 'pid': 8536, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.68359375}
{'name': 'fmapp.exe', 'pid': 8560, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 0.9453125}
{'name': 'CAudioFilterAgent64.exe', 'pid': 8608, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.7578125}
{'name': 'svchost.exe', 'pid': 8636, 'username': None, 'vms': 3.984375}
{'name': 'chrome.exe', 'pid': 8664, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 31.125}
{'name': 'RuntimeBroker.exe', 'pid': 8744, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 8.97265625}
{'name': 'chrome.exe', 'pid': 8820, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 54.35546875}
{'name': 'dllhost.exe', 'pid': 8956, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.9140625}
{'name': 'DolbyDAX2API.exe', 'pid': 9052, 'username': None, 'vms': 25.51171875}
{'name': 'chrome.exe', 'pid': 9076, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 21.53125}
{'name': 'OneDrive.exe', 'pid': 9120, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 28.90234375}
{'name': 'conhost.exe', 'pid': 9136, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.13671875}
{'name': 'chrome.exe', 'pid': 9140, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.671875}
{'name': 'chrome.exe', 'pid': 9328, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 22.59765625}
{'name': 'chrome.exe', 'pid': 9608, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.98828125}
{'name': 'chrome.exe', 'pid': 9780, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 53.82421875}
{'name': 'svchost.exe', 'pid': 9896, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 4.953125}
{'name': 'WSHelper.exe', 'pid': 9900, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 7.76953125}
{'name': 'chrome.exe', 'pid': 9916, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 6.0}
{'name': 'Creative Cloud.exe', 'pid': 10000, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.59765625}
{'name': 'fsnotifier64.exe', 'pid': 10016, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 0.51171875}
{'name': 'AdobeIPCBroker.exe', 'pid': 10028, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 3.890625}
{'name': 'winpty-agent.exe', 'pid': 10200, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.51171875}
{'name': 'svchost.exe', 'pid': 10252, 'username': None, 'vms': 2.03125}
{'name': 'chrome.exe', 'pid': 10260, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 53.5390625}
{'name': 'chrome.exe', 'pid': 10328, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 22.6875}
{'name': 'WmiPrvSE.exe', 'pid': 10384, 'username': None, 'vms': 5.41796875}
{'name': 'winpty-agent.exe', 'pid': 10432, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.81640625}
{'name': 'chrome.exe', 'pid': 10448, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 23.26171875}
{'name': 'chrome.exe', 'pid': 10468, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 80.5703125}
{'name': 'NPHOST.EXE', 'pid': 10596, 'username': None, 'vms': 3.625}
{'name': 'chrome.exe', 'pid': 10736, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 250.3671875}
{'name': 'chrome.exe', 'pid': 10820, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 34.33203125}
{'name': 'sppsvc.exe', 'pid': 10856, 'username': None, 'vms': 1.32421875}
{'name': 'conhost.exe', 'pid': 11032, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 5.14453125}
{'name': 'svchost.exe', 'pid': 11104, 'username': None, 'vms': 1.296875}
{'name': 'chrome.exe', 'pid': 11184, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.390625}
{'name': 'SearchUI.exe', 'pid': 11588, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 87.19921875}
{'name': 'Adobe Desktop Service.exe', 'pid': 11728, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 156.41796875}
{'name': 'svchost.exe', 'pid': 11952, 'username': None, 'vms': 2.4296875}
{'name': 'Adobe CEF Helper.exe', 'pid': 12000, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 40.53515625}
{'name': 'EMAILSCN.EXE', 'pid': 12056, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 9.40234375}
{'name': 'cmd.exe', 'pid': 12284, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.8984375}
{'name': 'notepad.exe', 'pid': 12332, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.79296875}
{'name': 'chrome.exe', 'pid': 12352, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 185.13671875}
{'name': 'chrome.exe', 'pid': 12412, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 28.38671875}
{'name': 'conhost.exe', 'pid': 13040, 'username': None, 'vms': 1.26171875}
{'name': 'chrome.exe', 'pid': 13216, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 11.67578125}
