--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05078125}
{'pid': 6468, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe', 'vms': 6.92578125}
{'pid': 6516, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ZVMOUNT.EXE', 'vms': 1.8359375}
{'pid': 6540, 'username': None, 'name': 'svchost.exe', 'vms': 2.125}
{'pid': 6584, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'taskhostw.exe', 'vms': 5.34375}
{'pid': 6644, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 17.78515625}
{'pid': 6656, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'pycharm64.exe', 'vms': 828.64453125}
{'pid': 6772, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 25.08203125}
{'pid': 6816, 'username': None, 'name': 'svchost.exe', 'vms': 1.4609375}
{'pid': 6960, 'username': None, 'name': 'svchost.exe', 'vms': 1.39453125}
{'pid': 6964, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ctfmon.exe', 'vms': 2.953125}
{'pid': 7020, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 59.94921875}
{'pid': 7040, 'username': None, 'name': 'svchost.exe', 'vms': 3.01953125}
{'pid': 7164, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe', 'vms': 3.86328125}
{'pid': 7212, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 29.3984375}
{'pid': 7240, 'username': None, 'name': 'svchost.exe', 'vms': 4.98046875}
{'pid': 7292, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 68.7578125}
{'pid': 7500, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ShellExperienceHost.exe', 'vms': 30.9453125}
{'pid': 7512, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 80.33984375}
{'pid': 7552, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe', 'vms': 6.37109375}
{'pid': 7580, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'node.exe', 'vms': 32.90234375}
{'pid': 7664, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 28.2734375}
{'pid': 7668, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'python.exe', 'vms': 11.69140625}
{'pid': 7824, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 280.67578125}
{'pid': 7904, 'username': None, 'name': 'conhost.exe', 'vms': 1.12890625}
{'pid': 8052, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'igfxEM.exe', 'vms': 3.5}
{'pid': 8064, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 75.4296875}
{'pid': 8308, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 1.55859375}
{'pid': 8408, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 18.1328125}
{'pid': 8492, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 122.8515625}
{'pid': 8520, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'MSASCuiL.exe', 'vms': 1.8359375}
{'pid': 8536, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'DolbyDAX2TrayIcon.exe', 'vms': 3.68359375}
{'pid': 8560, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'fmapp.exe', 'vms': 0.9453125}
{'pid': 8608, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CAudioFilterAgent64.exe', 'vms': 1.72265625}
{'pid': 8636, 'username': None, 'name': 'svchost.exe', 'vms': 3.65234375}
{'pid': 8664, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 34.0546875}
{'pid': 8744, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 8.34375}
