--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'pid': 3996, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 24.41015625}
{'pid': 4124, 'name': 'svchost.exe', 'username': None, 'vms': 2.515625}
{'pid': 4132, 'name': 'svchost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 4140, 'name': 'WEBPROT.EXE', 'username': None, 'vms': 13.11328125}
{'pid': 4148, 'name': 'SecurityHealthService.exe', 'username': None, 'vms': 4.02734375}
{'pid': 4156, 'name': 'svchost.exe', 'username': None, 'vms': 23.125}
{'pid': 4164, 'name': 'svchost.exe', 'username': None, 'vms': 1.52734375}
{'pid': 4172, 'name': 'ETDService.exe', 'username': None, 'vms': 1.06640625}
{'pid': 4188, 'name': 'IpOverUsbSvc.exe', 'username': None, 'vms': 7.74609375}
{'pid': 4196, 'name': 'SASrv.exe', 'username': None, 'vms': 1.33984375}
{'pid': 4204, 'name': 'Ext2Srv.exe', 'username': None, 'vms': 1.171875}
{'pid': 4224, 'name': 'sqlwriter.exe', 'username': None, 'vms': 1.59765625}
{'pid': 4236, 'name': 'NPProt.exe', 'username': None, 'vms': 0.9921875}
{'pid': 4244, 'name': 'SkypeBackgroundHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.7734375}
{'pid': 4256, 'name': 'TeamViewer_Service.exe', 'username': None, 'vms': 6.46484375}
{'pid': 4276, 'name': 'ETDCtrlHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.8125}
{'pid': 4284, 'name': 'ETDIntelligent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.171875}
{'pid': 4292, 'name': 'svchost.exe', 'username': None, 'vms': 1.890625}
{'pid': 4364, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 80.39453125}
{'pid': 4372, 'name': 'CoreSync.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 17.33984375}
{'pid': 4496, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.8203125}
{'pid': 4512, 'name': 'svchost.exe', 'username': None, 'vms': 4.703125}
{'pid': 4532, 'name': 'svchost.exe', 'username': None, 'vms': 2.21484375}
{'pid': 4536, 'name': 'svchost.exe', 'username': None, 'vms': 1.2734375}
